image_id,split
6410,train
7487,train
7731,train
7780,val
8081,val
8337,train
8554,train
8610,train
8671,train
8712,train
8810,train
8875,train
8950,train
8976,train
9014,train
9048,train
9082,train
9136,val
9137,train
9141,train
9147,train
9151,train
9174,train
9204,train
9210,val
9223,train
9266,val
9290,train
9312,train
9347,train
9387,train
9390,train
9394,train
9425,train
9430,val
9465,train
9481,train
9507,train
9540,train
9541,train
9548,train
9549,train
9566,train
9573,train
9591,val
9636,train
9656,train
9664,val
9676,train
9690,train
9692,train
9699,train
9709,train
9721,train
9743,train
9791,train
9810,train
9850,val
9873,train
9880,train
9891,train
9895,train
9922,train
9988,train
9992,train
10000,train
10011,train
10035,train
10061,train
10118,train
10145,val
10149,val
10184,train
10208,val
10216,train
10222,train
10230,train
10265,train
10266,train
10324,train
10382,train
10384,train
10395,train
10404,val
10424,train
10512,train
10518,train
10531,train
10542,val
10544,train
10566,val
10572,train
10574,train
10584,train
10602,train
10608,train
10667,train
10678,train
10691,train
10716,train
10727,train
10732,train
10742,train
10763,train
10775,train
10795,train
10808,train
10811,train
10820,train
10848,train
10852,train
10854,train
10858,train
10898,train
10904,train
10905,train
10912,val
10918,train
10957,train
10976,train
10994,train
11064,train
11065,train
11091,train
11095,train
11097,train
11120,train
11125,train
11127,train
11132,train
11140,val
11152,train
11171,train
11178,train
11217,val
11242,val
11284,val
11298,train
11321,train
11323,val
11340,train
11381,train
11393,train
11419,train
11437,train
11446,train
11451,val
11469,train
11489,train
11523,train
11524,train
11530,val
11532,val
11588,train
11604,train
11614,train
11630,val
11658,train
11696,train
11753,train
11775,train
11791,train
11803,val
11807,train
11849,train
11854,train
11856,train
11893,train
11895,val
11902,val
11903,train
11925,train
11985,train
11996,val
12007,train
12009,train
12042,train
12054,train
12072,val
12073,train
12084,train
12101,train
12109,train
12112,train
12128,val
12153,val
12174,train
12197,train
12208,train
12225,train
12251,train
12257,train
12273,val
12279,train
12286,train
12305,train
12344,train
12381,val
12423,train
12433,train
12448,train
12452,val
12478,train
12486,train
12508,val
12524,train
12534,train
12543,val
12546,train
12548,train
