image_id,split
2083,train
5593,train
6410,val
7731,val
7780,train
8081,train
8337,train
8457,train
8554,train
8610,train
8671,train
8712,train
8810,train
8935,train
8950,train
8971,train
8976,train
8980,val
8985,train
8988,train
9018,train
9032,train
9048,train
9104,train
9112,train
9137,train
9141,train
9147,train
9174,train
9204,val
9210,val
9221,train
9223,train
9227,train
9236,val
9246,val
9250,train
9260,train
9266,train
9274,train
9290,train
9309,train
9347,train
9353,train
9387,train
9411,val
9430,train
9468,train
9481,train
9507,train
9517,train
9530,train
9541,train
9548,train
9549,train
9566,train
9573,val
9575,val
9591,train
9636,train
9645,train
9658,train
9672,train
9676,train
9690,train
9699,train
9709,train
9717,train
9721,train
9743,val
9753,train
9764,train
9791,train
9793,train
9836,train
9850,train
9873,train
9880,train
9891,val
9895,train
9914,train
9922,val
9988,train
9989,train
10000,train
10018,train
10071,train
10118,val
10128,train
10145,train
10149,train
10160,train
10184,val
10202,train
10206,val
10215,train
10216,train
10222,train
10230,train
10239,train
10265,train
10266,train
10324,val
10330,train
10362,train
10382,train
10395,train
10404,val
10424,val
10512,train
10525,train
10531,train
10544,train
10566,train
10572,val
10574,train
10593,train
10602,train
10604,train
10638,train
10643,train
10678,val
10708,train
10716,train
10732,train
10742,train
10747,train
10763,train
10764,train
10770,train
10775,val
10776,train
10795,train
10808,train
10811,val
10818,train
10820,val
10822,train
10843,train
10850,val
10852,train
10854,val
10858,train
10898,train
10904,train
10905,train
10912,train
10913,train
10943,train
10954,train
10957,train
10959,val
10976,val
10984,train
11013,train
11041,train
11065,train
11073,train
11091,train
11095,train
11097,val
11101,train
11120,train
11125,train
11132,train
11140,train
11152,train
11171,train
11178,train
11184,train
11217,train
11227,train
11240,train
11242,train
11254,train
11264,train
11284,train
11298,train
11303,train
11321,train
11340,val
11349,val
11351,val
11376,train
11381,train
11393,train
11408,train
11419,train
11422,train
11437,train
11446,train
11451,train
11465,train
11469,train
11523,train
11524,train
11530,train
11532,train
11572,train
11593,train
11614,train
11630,train
11658,train
11696,train
11717,train
11720,train
11753,train
11758,train
11765,train
11775,train
11791,train
11803,train
11807,train
11815,train
11849,val
11856,train
11880,train
11893,train
11895,train
11903,train
11925,train
11972,train
12000,train
12007,train
12009,train
12073,train
12084,train
12109,train
12120,train
12128,train
12153,train
12174,train
12197,val
12208,val
12211,train
12215,train
12225,train
12227,train
12246,train
12251,train
12257,train
12279,train
12286,train
12330,train
12333,train
12344,train
12360,train
12423,train
12432,train
12452,train
12473,train
12478,val
12508,train
12526,train
12534,train
12543,train
12546,train
12554,train
12567,val
12605,val
12630,train
12651,train
12704,val
12719,val
12726,train
12755,train
12770,train
12776,train
12785,train
12796,train
12798,train
12809,train
12823,val
12831,val
12842,train
12854,train
12855,train
12873,train
12876,val
12889,train
12903,train
12913,train
12921,train
12931,val
12953,train
12976,train
13037,val
13039,train
13049,train
13077,train
13093,train
13106,train
13148,train
13162,train
13201,train
13203,train
13256,train
13257,train
13260,train
13283,train
13317,train
13318,train
13326,train
13331,val
13365,val
13390,train
13395,train
13414,train
13428,train
13445,train
13469,train
13477,train
13482,train
13483,train
13498,train
13505,train
13507,val
13530,train
13543,train
13557,train
13560,train
13581,train
13585,train
13595,train
13598,train
13599,train
13968,val
14432,train
14452,train
14522,train
14700,train
14811,train
14915,train
14983,train
15069,train
15073,train
15076,train
15089,train
15106,train
15108,train
15125,train
15145,train
15161,train
15187,train
15201,val
15214,train
15225,val
15227,train
15229,train
15231,val
15255,train
15276,train
15279,train
15300,train
15309,train
15338,val
15347,val
15380,val
15384,train
15387,train
15407,train
15424,val
15430,train
15431,train
15459,train
15486,train
15515,train
15525,train
15528,train
15531,train
15553,val
15565,train
15593,val
15602,val
15604,train
15605,val
15649,train
15655,train
15661,train
15665,train
15676,train
15686,train
15687,train
15699,train
15703,train
15707,train
15743,train
15758,train
15769,train
15781,train
15783,train
15813,train
15840,val
15843,train
15866,train
15890,train
15891,val
15901,train
15920,train
15924,val
15958,train
15967,train
15984,val
15988,train
15998,train
16004,train
16006,train
16010,val
16034,train
16058,train
16065,train
16067,train
16079,train
16101,train
16110,train
16116,train
16134,train
16148,train
16160,train
16182,train
16186,val
16212,train
16219,train
16222,train
16231,train
16243,train
16249,train
16275,train
16314,train
16327,train
16331,train
16346,train
16427,val
16431,val
16439,train
16454,train
16455,train
16456,train
16488,val
16492,train
16504,train
16508,train
16521,train
16526,train
16528,train
16537,train
16541,train
16566,train
16572,train
16599,val
16605,val
16607,val
16619,train
16638,train
16666,train
16668,train
16672,train
16673,train
16683,train
16687,train
16711,train
16721,train
16722,train
16761,train
16774,train
16806,train
16824,train
16848,val
16857,train
16892,train
16896,train
16931,train
16942,train
16953,train
16956,val
16962,train
17039,val
17048,train
17050,train
17087,train
17090,train
17091,train
17108,train
17121,train
17128,val
17131,train
17136,train
17163,train
17198,train
17204,train
17208,train
17228,train
17229,train
17240,train
17255,val
17258,train
17261,train
17285,train
17290,train
17312,train
17313,val
17323,train
17356,train
17370,train
17378,train
17381,train
17396,val
17401,train
17402,train
17413,train
17419,train
17439,val
17443,train
17448,train
17449,train
17509,train
17515,train
17529,train
17533,val
17557,val
17566,train
17594,train
17600,val
17609,train
17610,val
17644,train
17655,train
17658,train
17686,train
17687,train
17689,train
17718,train
17734,train
17737,train
17769,train
17776,train
17791,train
17847,train
17856,train
17861,train
17869,train
17882,val
17910,train
17958,train
17962,train
17971,train
17994,train
17997,train
18001,train
18008,train
18033,val
18034,val
18038,train
18043,train
18044,train
18074,train
18075,train
18111,train
18130,train
18159,train
18179,train
18190,train
18208,train
18212,train
18247,train
18250,train
18282,train
18319,train
18332,train
18343,val
18352,train
18369,train
18374,val
18376,train
18406,train
18415,train
18418,val
18443,train
18461,train
18469,val
18500,train
18509,train
18516,train
18518,train
18531,train
18553,train
18562,train
18566,train
18568,train
18620,train
18638,train
18652,val
18668,val
18669,train
18703,train
18704,train
18707,train
18712,train
18718,train
18736,train
18745,val
18758,train
18760,train
18771,train
18791,train
18812,train
18821,train
18833,train
18890,train
18895,train
18904,train
18908,train
18909,train
18927,val
18936,val
18943,train
18946,train
18949,train
18980,val
18987,train
18991,train
19021,val
19033,train
19051,train
19097,train
19099,train
19157,train
19189,train
19215,train
19223,val
19262,val
19263,val
19288,val
19292,train
19295,train
19326,train
19375,train
19391,train
19394,train
19412,train
19413,train
19418,train
19436,train
19441,train
19442,train
19450,train
19455,train
19461,train
19484,val
19495,train
19498,train
19504,train
19506,train
19551,val
19554,train
19575,train
19602,train
19618,train
19633,train
19647,train
19656,train
19659,train
19661,train
19669,train
19670,train
19676,train
19681,train
19701,train
19760,train
19762,train
19764,train
19768,train
19774,train
19777,train
19794,train
19795,train
19806,train
19808,train
19811,train
19817,train
19825,train
19826,train
19829,train
19841,train
19845,train
19856,val
19873,train
19875,train
19876,train
19898,train
19905,train
19927,train
19931,train
19944,train
20002,train
20004,train
20008,train
20023,train
20028,val
20052,train
20065,train
20066,val
20075,train
20081,train
20106,train
20107,val
20144,train
20159,val
20167,train
20170,train
20199,train
20202,train
20235,train
20242,train
20246,train
20250,train
20256,train
20273,train
20291,train
20315,train
20328,train
20358,train
20359,train
20397,train
20465,train
20470,train
20495,train
20499,train
20503,train
20506,train
20511,train
20529,train
20531,train
20590,train
20618,train
20639,val
20702,val
20712,train
20733,train
23337,train
23348,train
